iter	Passed	Remaining
0	763	228321
1	1239	184638
2	1414	140038
3	1601	118480
4	1775	104734
5	1966	96372
6	2150	89996
7	2325	84878
8	2498	80796
9	2666	77329
10	2827	74293
11	2991	71799
12	3152	69600
13	3330	68032
14	3487	66261
15	3648	64754
16	3841	63957
17	4039	63290
18	4213	62315
19	4322	60509
20	4478	59504
21	4640	58638
22	4807	57900
23	4967	57128
24	5129	56426
25	5291	55761
26	5449	55103
27	5609	54496
28	5768	53905
29	5926	53339
30	6088	52835
31	6253	52372
32	6411	51871
33	6569	51398
34	6727	50933
35	6884	50484
36	7052	50133
37	7217	49760
38	7382	49402
39	7537	48996
40	7694	48609
41	7857	48267
42	8021	47942
43	8178	47585
44	8344	47285
45	8504	46960
46	8669	46668
47	8832	46371
48	8995	46078
49	9153	45769
50	9314	45477
51	9480	45216
52	9639	44923
53	9794	44621
54	9959	44365
55	10122	44103
56	10281	43831
57	10441	43566
58	10598	43291
59	10768	43074
60	10929	42823
61	11092	42580
62	11250	42324
63	11415	42094
64	11574	41845
65	11733	41601
66	11891	41352
67	12051	41115
68	12208	40872
69	12369	40642
70	12526	40403
71	12697	40207
72	12858	39984
73	13022	39770
74	13185	39556
75	13349	39347
76	13517	39148
77	13692	38971
78	13852	38753
79	14014	38540
80	14172	38317
81	14336	38112
82	14494	37895
83	14673	37730
84	14852	37569
85	15020	37376
86	15082	36925
87	15242	36720
88	15403	36519
89	15563	36314
90	15721	36107
91	15877	35897
92	16040	35702
93	16202	35506
94	16360	35304
95	16521	35107
96	16676	34899
97	16833	34697
98	16992	34500
99	17155	34311
100	17312	34110
101	17473	33920
102	17632	33723
103	17787	33521
104	17946	33328
105	18106	33137
106	18265	32945
107	18422	32751
108	18580	32558
109	18741	32372
110	18898	32177
111	19058	31990
112	19215	31799
113	19375	31611
114	19535	31425
115	19691	31235
116	19850	31047
117	20012	30866
118	20167	30675
119	20328	30492
120	20486	30305
121	20645	30122
122	20800	29931
123	20960	29750
124	21115	29562
125	21271	29375
126	21451	29220
127	21613	29042
128	21770	28858
129	21933	28682
130	22089	28497
131	22247	28315
132	22407	28136
133	22575	27966
134	22747	27802
135	22932	27653
136	23092	27475
137	23251	27294
138	23412	27117
139	23572	26940
140	23732	26762
141	23892	26584
142	24058	26414
143	24221	26240
144	24386	26067
145	24549	25894
146	24757	25767
147	24954	25628
148	25138	25476
149	25300	25300
150	25463	25126
151	25651	24976
152	25819	24806
153	25990	24640
154	26160	24473
155	26324	24299
156	26485	24123
157	26646	23948
158	26810	23774
159	26974	23602
160	27134	23426
161	27296	23252
162	27457	23078
163	27621	22905
164	27781	22730
165	27946	22559
166	28110	22387
167	28272	22214
168	28434	22040
169	28598	21869
170	28772	21705
171	28936	21533
172	29096	21360
173	29255	21185
174	29418	21013
175	29580	20840
176	29741	20667
177	29906	20497
178	30065	20323
179	30225	20150
180	30386	19977
181	30572	19821
182	30739	19653
183	30903	19482
184	31061	19308
185	31219	19134
186	31386	18966
187	31545	18793
188	31710	18623
189	31874	18453
190	32034	18281
191	32194	18109
192	32356	17938
193	32518	17767
194	32679	17596
195	32839	17424
196	32999	17253
197	33158	17081
198	33324	16913
199	33487	16743
200	33647	16572
201	33812	16403
202	33979	16236
203	34137	16064
204	34297	15893
205	34462	15725
206	34624	15555
207	34796	15390
208	34957	15220
209	35117	15050
210	35274	14878
211	35438	14710
212	35599	14540
213	35760	14370
214	35925	14202
215	36087	14033
216	36147	13826
217	36308	13657
218	36466	13487
219	36637	13322
220	36799	13154
221	36963	12987
222	37123	12818
223	37283	12649
224	37446	12482
225	37606	12313
226	37768	12145
227	37934	11979
228	38092	11810
229	38253	11642
230	38415	11474
231	38575	11306
232	38745	11141
233	38910	10974
234	39084	10810
235	39249	10643
236	39409	10475
237	39572	10308
238	39733	10141
239	39898	9974
240	40054	9805
241	40216	9638
242	40377	9471
243	40537	9303
244	40699	9136
245	40880	8973
246	41039	8806
247	41197	8638
248	41357	8470
249	41521	8304
250	41685	8137
251	41850	7971
252	42015	7805
253	42174	7637
254	42336	7471
255	42499	7304
256	42665	7138
257	42829	6972
258	42989	6805
259	43148	6638
260	43308	6471
261	43465	6304
262	43632	6138
263	43795	5972
264	43957	5805
265	44119	5639
266	44278	5472
267	44435	5305
268	44594	5139
269	44756	4972
270	44924	4807
271	45087	4641
272	45251	4475
273	45410	4309
274	45571	4142
275	45730	3976
276	45895	3810
277	46055	3644
278	46223	3479
279	46381	3312
280	46539	3146
281	46700	2980
282	46864	2815
283	47028	2649
284	47190	2483
285	47352	2317
286	47518	2152
287	47679	1986
288	47846	1821
289	48010	1655
290	48169	1489
291	48328	1324
292	48489	1158
293	48649	992
294	48815	827
295	48976	661
296	49136	496
297	49301	330
298	49464	165
299	49628	0
